plant_id,meter_id,meter_reading,created_at,data_availability,guid,date
900005,910007,237816250.0,2025-10-23 03:00:10.000000 UTC,1,plant-guid-00000032,2025-10-23 03:00:10.000000 UTC
900001,910008,508626843.0,2025-10-23 03:00:10.000000 UTC,1,plant-guid-00000033,2025-10-23 03:00:10.000000 UTC
900004,910003,314018148.0,2025-10-23 03:00:10.000000 UTC,1,plant-guid-00000034,2025-10-23 03:00:10.000000 UTC
900004,910005,325020908.0,2025-10-23 03:00:10.000000 UTC,1,plant-guid-00000035,2025-10-23 03:00:10.000000 UTC
900004,910003,313910802.0,2025-10-23 01:00:10.000000 UTC,1,plant-guid-00000036,2025-10-23 01:00:10.000000 UTC
900003,910000,208310828.0,2025-10-23 01:00:10.000000 UTC,1,plant-guid-00000037,2025-10-23 01:00:10.000000 UTC
900005,910007,237755140.0,2025-10-23 01:00:10.000000 UTC,1,plant-guid-00000038,2025-10-23 01:00:10.000000 UTC
900002,910002,590196812.0,2025-10-23 01:00:10.000000 UTC,1,plant-guid-00000039,2025-10-23 01:00:10.000000 UTC
900004,910005,324909776.0,2025-10-23 01:00:10.000000 UTC,1,plant-guid-00000040,2025-10-23 01:00:10.000000 UTC
900003,910004,105694859.0,2025-10-23 01:00:10.000000 UTC,1,plant-guid-00000041,2025-10-23 01:00:10.000000 UTC
900005,910006,233331093.0,2025-10-23 01:00:10.000000 UTC,1,plant-guid-00000042,2025-10-23 01:00:10.000000 UTC
900003,910001,100227203.0,2025-10-23 00:00:10.000000 UTC,1,plant-guid-00000043,2025-10-23 00:00:10.000000 UTC
900003,910000,208308281.0,2025-10-23 00:00:10.000000 UTC,1,plant-guid-00000044,2025-10-23 00:00:10.000000 UTC
900003,910004,105693445.0,2025-10-23 00:00:10.000000 UTC,1,plant-guid-00000045,2025-10-23 00:00:10.000000 UTC
900002,910002,590187062.0,2025-10-23 00:00:10.000000 UTC,1,plant-guid-00000046,2025-10-23 00:00:10.000000 UTC
900005,910007,237752671.0,2025-10-23 00:00:10.000000 UTC,1,plant-guid-00000047,2025-10-23 00:00:10.000000 UTC
900005,910006,233328453.0,2025-10-23 00:00:10.000000 UTC,1,plant-guid-00000048,2025-10-23 00:00:10.000000 UTC
900001,910008,508536156.0,2025-10-23 00:00:10.000000 UTC,1,plant-guid-00000049,2025-10-23 00:00:10.000000 UTC
900004,910003,313905525.0,2025-10-23 00:00:10.000000 UTC,1,plant-guid-00000050,2025-10-23 00:00:10.000000 UTC
900004,910005,324906278.0,2025-10-23 00:00:10.000000 UTC,1,plant-guid-00000051,2025-10-23 00:00:10.000000 UTC
900001,910008,508539937.0,2025-10-23 01:00:10.000000 UTC,1,plant-guid-00000052,2025-10-23 01:00:10.000000 UTC
900003,910001,100228507.0,2025-10-23 01:00:10.000000 UTC,1,plant-guid-00000053,2025-10-23 01:00:10.000000 UTC
900003,910000,208307656.0,2025-10-22 11:00:10.000000 UTC,1,plant-guid-00000054,2025-10-22 11:00:10.000000 UTC
